th_time,th
2586.66900015,165.972
2588.66900015,188.948
2590.71000004,206.692
2592.96000004,223.164
2595.04200006,171.452
2597.08400011,206.736
2599.125,340.336
2601.20800018,285.116
2603.29100013,207.688
2605.37300014,373.256
2607.4150002,458.088
2609.45600009,523.212
2611.53900003,426.288
2613.62199998,481.312
2615.704,480.676
2617.78700018,497.068
2619.87000012,551.62
2621.91100001,591.36
2623.91100001,336.94
2625.91000009,424.964
2627.95200014,403.628
2629.95099998,455.536
2631.9920001,424.476
2634.03400016,438.428
2636.03299999,399.204
2638.07400012,488.804
2640.07400012,511.92
2642.11500001,428.224
2644.15600014,394.964
